MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,material_id,formula,system,energy_above_hull,stable
8.0,29.0,21.0,15.0,9.333333333333334,8.0,64.0,87.0,23.0,79.33333333333333,10.222222222222223,87.0,15.9994,63.546,47.5466,31.848266666666664,21.131822222222223,15.9994,54.8,1357.77,1302.97,489.1233333333333,579.0977777777778,54.8,11.0,16.0,5.0,14.333333333333334,2.222222222222222,16.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,66.0,132.0,66.0,88.0,29.333333333333332,66.0,1.9,3.44,1.54,2.9266666666666663,0.6844444444444445,3.44,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,7.666666666666667,2.2222222222222223,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,9.105,11.07,1.9649999999999999,9.76,0.8733333333333331,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,83.0,94.66666666666667,12.0,mp-654801,CuO2,Cu-O,0.30963668187500004,0
8.0,29.0,21.0,18.5,10.5,8.0,64.0,87.0,23.0,75.5,11.5,64.0,15.9994,63.546,47.5466,39.7727,23.773299999999995,15.9994,54.8,1357.77,1302.97,706.285,651.485,54.8,11.0,16.0,5.0,13.5,2.5,11.0,2.0,4.0,2.0,3.0,1.0,2.0,66.0,132.0,66.0,99.0,33.0,66.0,1.9,3.44,1.54,2.67,0.77,1.9,1.0,2.0,1.0,1.5,0.5,1.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,8.5,2.5,6.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.5,0.5,1.0,9.105,11.07,1.9649999999999999,10.0875,0.9824999999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,118.5,106.5,12.0,mp-1147768,CuO,Cu-O,0.277552009999999,0
8.0,29.0,21.0,18.5,10.5,8.0,64.0,87.0,23.0,75.5,11.5,64.0,15.9994,63.546,47.5466,39.7727,23.7733,15.9994,54.8,1357.77,1302.97,706.285,651.485,54.8,11.0,16.0,5.0,13.5,2.5,11.0,2.0,4.0,2.0,3.0,1.0,2.0,66.0,132.0,66.0,99.0,33.0,66.0,1.9,3.44,1.54,2.67,0.77,1.9,1.0,2.0,1.0,1.5,0.5,1.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,8.5,2.5,6.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.5,0.5,1.0,9.105,11.07,1.9649999999999999,10.0875,0.9824999999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,118.5,106.5,12.0,mp-1692,CuO,Cu-O,0.0,1
8.0,29.0,21.0,18.5,10.5,8.0,64.0,87.0,23.0,75.5,11.5,64.0,15.9994,63.546,47.5466,39.7727,23.7733,15.9994,54.8,1357.77,1302.97,706.285,651.485,54.8,11.0,16.0,5.0,13.5,2.5,11.0,2.0,4.0,2.0,3.0,1.0,2.0,66.0,132.0,66.0,99.0,33.0,66.0,1.9,3.44,1.54,2.67,0.77,1.9,1.0,2.0,1.0,1.5,0.5,1.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,8.5,2.5,6.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.5,0.5,1.0,9.105,11.07,1.9649999999999999,10.0875,0.9824999999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,118.5,106.5,12.0,mp-510751,CuO,Cu-O,0.179534246562499,0
8.0,29.0,21.0,18.5,10.5,8.0,64.0,87.0,23.0,75.5,11.5,64.0,15.9994,63.546,47.5466,39.7727,23.7733,15.9994,54.8,1357.77,1302.97,706.285,651.485,54.8,11.0,16.0,5.0,13.5,2.5,11.0,2.0,4.0,2.0,3.0,1.0,2.0,66.0,132.0,66.0,99.0,33.0,66.0,1.9,3.44,1.54,2.67,0.77,1.9,1.0,2.0,1.0,1.5,0.5,1.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,8.5,2.5,6.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.5,0.5,1.0,9.105,11.07,1.9649999999999999,10.0875,0.9824999999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,118.5,106.5,12.0,mp-25229,CuO,Cu-O,0.5894081550000001,0
8.0,29.0,21.0,18.5,10.5,8.0,64.0,87.0,23.0,75.5,11.5,64.0,15.9994,63.546,47.5466,39.7727,23.7733,15.9994,54.8,1357.77,1302.97,706.285,651.485,54.8,11.0,16.0,5.0,13.5,2.5,11.0,2.0,4.0,2.0,3.0,1.0,2.0,66.0,132.0,66.0,99.0,33.0,66.0,1.9,3.44,1.54,2.67,0.77,1.9,1.0,2.0,1.0,1.5,0.5,1.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,8.5,2.5,6.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.5,0.5,1.0,9.105,11.07,1.9649999999999999,10.0875,0.9824999999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,118.5,106.5,12.0,mp-704645,CuO,Cu-O,0.000264654999999,1
8.0,29.0,21.0,15.0,9.333333333333334,8.0,64.0,87.0,23.0,79.33333333333333,10.222222222222223,87.0,15.9994,63.546,47.5466,31.848266666666664,21.131822222222223,15.9994,54.8,1357.77,1302.97,489.1233333333333,579.0977777777778,54.8,11.0,16.0,5.0,14.333333333333334,2.222222222222222,16.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,66.0,132.0,66.0,88.0,29.333333333333332,66.0,1.9,3.44,1.54,2.9266666666666663,0.6844444444444445,3.44,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,7.666666666666667,2.2222222222222223,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,9.105,11.07,1.9649999999999999,9.76,0.8733333333333331,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,83.0,94.66666666666667,12.0,mp-25378,CuO2,Cu-O,0.180120351874999,0
8.0,29.0,21.0,18.5,10.5,8.0,64.0,87.0,23.0,75.5,11.5,64.0,15.9994,63.546,47.5466,39.7727,23.773299999999995,15.9994,54.8,1357.77,1302.97,706.285,651.485,54.8,11.0,16.0,5.0,13.5,2.5,11.0,2.0,4.0,2.0,3.0,1.0,2.0,66.0,132.0,66.0,99.0,33.0,66.0,1.9,3.44,1.54,2.67,0.77,1.9,1.0,2.0,1.0,1.5,0.5,1.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,8.5,2.5,6.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.5,0.5,1.0,9.105,11.07,1.9649999999999999,10.0875,0.9824999999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,118.5,106.5,12.0,mp-1120722,CuO,Cu-O,0.33538806666666604,0
8.0,29.0,21.0,18.5,10.5,8.0,64.0,87.0,23.0,75.5,11.5,64.0,15.9994,63.546,47.5466,39.7727,23.7733,15.9994,54.8,1357.77,1302.97,706.285,651.485,54.8,11.0,16.0,5.0,13.5,2.5,11.0,2.0,4.0,2.0,3.0,1.0,2.0,66.0,132.0,66.0,99.0,33.0,66.0,1.9,3.44,1.54,2.67,0.77,1.9,1.0,2.0,1.0,1.5,0.5,1.0,0.0,4.0,4.0,2.0,2.0,0.0,0.0,10.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,8.5,2.5,6.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.5,0.5,1.0,9.105,11.07,1.9649999999999999,10.0875,0.9824999999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,118.5,106.5,12.0,mp-14549,CuO,Cu-O,0.17112737999999902,0
8.0,29.0,21.0,15.0,9.333333333333334,8.0,64.0,87.0,23.0,79.33333333333333,10.222222222222223,87.0,15.9994,63.546,47.5466,31.848266666666664,21.131822222222223,15.9994,54.8,1357.77,1302.97,489.1233333333333,579.0977777777778,54.8,11.0,16.0,5.0,14.333333333333334,2.222222222222222,16.0,2.0,4.0,2.0,2.6666666666666665,0.8888888888888888,2.0,66.0,132.0,66.0,88.0,29.333333333333332,66.0,1.9,3.44,1.54,2.9266666666666663,0.6844444444444445,3.44,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.6666666666666665,1.777777777777778,4.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,7.666666666666667,2.2222222222222223,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,9.105,11.07,1.9649999999999999,9.76,0.8733333333333331,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,83.0,94.66666666666667,12.0,mp-504100,CuO2,Cu-O,0.190485898541666,0
