feature,importance
MagpieData mean Electronegativity,0.05023723309873597
MagpieData avg_dev CovalentRadius,0.04850375045831879
MagpieData range Number,0.041522274392842236
MagpieData mean Number,0.041521338755718895
MagpieData mean MeltingT,0.04033817216582195
MagpieData avg_dev Number,0.040016894459911516
MagpieData avg_dev NUnfilled,0.03957593589875107
MagpieData mean NUnfilled,0.036305626058458815
MagpieData mean AtomicWeight,0.0348556416532283
MagpieData mean CovalentRadius,0.03456819280094552
MagpieData avg_dev NsUnfilled,0.0338791488969714
MagpieData avg_dev NValence,0.03383232352059641
MagpieData avg_dev SpaceGroupNumber,0.032904201775659364
MagpieData avg_dev NdValence,0.0325262310430054
MagpieData mean MendeleevNumber,0.03189355084183437
MagpieData avg_dev GSvolume_pa,0.030763080870603875
MagpieData avg_dev MeltingT,0.028794267754913862
MagpieData avg_dev MendeleevNumber,0.028122646939249457
MagpieData avg_dev NpUnfilled,0.027139092291893086
MagpieData avg_dev Electronegativity,0.023065361200109994
MagpieData avg_dev AtomicWeight,0.02122594381570962
MagpieData avg_dev Column,0.020928269959656128
MagpieData mean NdValence,0.019218727777802234
MagpieData mean Column,0.016935367549070917
MagpieData mean SpaceGroupNumber,0.01655362114088823
MagpieData mean GSvolume_pa,0.01547257832981476
MagpieData avg_dev NpValence,0.01264727315163681
MagpieData mean Row,0.01137873941407489
MagpieData maximum MeltingT,0.011004839794778329
MagpieData avg_dev Row,0.010913151736171562
MagpieData mean NpValence,0.01079774535476919
MagpieData mean NsUnfilled,0.010222068790563798
MagpieData range MeltingT,0.00963343310308432
MagpieData avg_dev GSmagmom,0.009299082443690862
MagpieData minimum NValence,0.008644337129255057
MagpieData mean NValence,0.007653267348867047
MagpieData range SpaceGroupNumber,0.007193282338644705
MagpieData avg_dev GSbandgap,0.006634262684896401
MagpieData mean NpUnfilled,0.00542906391499705
MagpieData mean NsValence,0.004811289291804424
MagpieData range MendeleevNumber,0.004791435543640865
MagpieData maximum GSvolume_pa,0.004649892687019818
MagpieData avg_dev NdUnfilled,0.004626623722131284
MagpieData minimum Number,0.0038099514039804353
MagpieData minimum NUnfilled,0.003567886295438297
MagpieData range GSvolume_pa,0.0031417414355293517
MagpieData maximum NUnfilled,0.0028624292413114375
MagpieData range CovalentRadius,0.002750328612980248
MagpieData mean GSbandgap,0.002649529666956804
MagpieData mode AtomicWeight,0.002582448104569489
MagpieData range NpUnfilled,0.001906848298368112
MagpieData mode MendeleevNumber,0.0016864736793402008
MagpieData avg_dev NsValence,0.001437015459320292
MagpieData minimum MendeleevNumber,0.0012722569851849966
MagpieData maximum MendeleevNumber,0.0011784275112881285
MagpieData range AtomicWeight,0.0011212811627868793
MagpieData range NpValence,0.0010901014643581231
MagpieData minimum Electronegativity,0.0010334533681221867
MagpieData range GSbandgap,0.000879058654691075
MagpieData maximum NValence,0.0008770116111672351
MagpieData mode NValence,0.0006914682798341786
MagpieData range NUnfilled,0.000674759938982378
MagpieData minimum AtomicWeight,0.0006589213462807294
MagpieData mode Number,0.0006106331355497943
MagpieData minimum SpaceGroupNumber,0.00047425898359022703
MagpieData mode Electronegativity,0.0004391695400779
MagpieData range Electronegativity,0.00041576172022451046
MagpieData mode Column,0.00041125236436196234
MagpieData maximum AtomicWeight,0.0002761450702391798
MagpieData maximum Number,0.00016075888293263675
MagpieData mean NdUnfilled,0.00012043795002363258
MagpieData maximum NpUnfilled,7.070414261984443e-05
MagpieData range Column,6.459460994657434e-05
MagpieData minimum Column,3.6908636725925965e-05
MagpieData mode NsUnfilled,1.8720542678717732e-05
MagpieData mode NpValence,0.0
MagpieData maximum NfValence,0.0
MagpieData minimum NfValence,0.0
MagpieData mode NdValence,0.0
MagpieData range NdValence,0.0
MagpieData minimum NdValence,0.0
MagpieData maximum NdValence,0.0
MagpieData mode NsValence,0.0
MagpieData range NsValence,0.0
MagpieData mode CovalentRadius,0.0
MagpieData minimum MeltingT,0.0
MagpieData maximum Column,0.0
MagpieData mode MeltingT,0.0
MagpieData maximum Row,0.0
MagpieData minimum Row,0.0
MagpieData range Row,0.0
MagpieData mode Row,0.0
MagpieData minimum NpValence,0.0
MagpieData maximum NpValence,0.0
MagpieData maximum CovalentRadius,0.0
MagpieData minimum CovalentRadius,0.0
MagpieData maximum Electronegativity,0.0
MagpieData minimum NsValence,0.0
MagpieData maximum NsValence,0.0
MagpieData range NValence,0.0
MagpieData mean NfUnfilled,0.0
MagpieData range NfUnfilled,0.0
MagpieData maximum NfUnfilled,0.0
MagpieData minimum NfUnfilled,0.0
MagpieData mode NdUnfilled,0.0
MagpieData range NdUnfilled,0.0
MagpieData minimum NdUnfilled,0.0
MagpieData maximum NdUnfilled,0.0
MagpieData mode NpUnfilled,0.0
MagpieData minimum NpUnfilled,0.0
MagpieData avg_dev NfValence,0.0
MagpieData mode NfValence,0.0
MagpieData range NfValence,0.0
MagpieData minimum NsUnfilled,0.0
MagpieData maximum NsUnfilled,0.0
MagpieData range NsUnfilled,0.0
MagpieData mean NfValence,0.0
MagpieData maximum GSbandgap,0.0
MagpieData mode GSvolume_pa,0.0
MagpieData minimum GSbandgap,0.0
MagpieData avg_dev NfUnfilled,0.0
MagpieData mode NfUnfilled,0.0
MagpieData mode NUnfilled,0.0
MagpieData minimum GSvolume_pa,0.0
MagpieData mean GSmagmom,0.0
MagpieData range GSmagmom,0.0
MagpieData maximum GSmagmom,0.0
MagpieData minimum GSmagmom,0.0
MagpieData mode GSbandgap,0.0
MagpieData mode GSmagmom,0.0
MagpieData maximum SpaceGroupNumber,0.0
MagpieData mode SpaceGroupNumber,0.0
