feature,importance
MagpieData range Number,0.08679627
MagpieData range NValence,0.046800967
MagpieData range AtomicWeight,0.039549828
MagpieData mode MendeleevNumber,0.03157415
MagpieData avg_dev NUnfilled,0.0276085
MagpieData maximum MeltingT,0.025044372
MagpieData mean GSmagmom,0.02416591
MagpieData range MendeleevNumber,0.023364048
MagpieData mean NsUnfilled,0.023248713
MagpieData mean Column,0.022441687
MagpieData avg_dev Number,0.02128014
MagpieData mean Number,0.02104438
MagpieData avg_dev GSvolume_pa,0.019981844
MagpieData mean GSbandgap,0.019640146
MagpieData mean CovalentRadius,0.019429617
MagpieData avg_dev CovalentRadius,0.01915242
MagpieData mean GSvolume_pa,0.018692221
MagpieData avg_dev NpUnfilled,0.01753847
MagpieData avg_dev Row,0.017463375
MagpieData mean NValence,0.017428989
MagpieData maximum NdUnfilled,0.017307313
MagpieData mean Electronegativity,0.01565375
MagpieData avg_dev SpaceGroupNumber,0.014854215
MagpieData mean NUnfilled,0.014199148
MagpieData mean MendeleevNumber,0.013927211
MagpieData minimum NValence,0.013771166
MagpieData avg_dev Electronegativity,0.0135941645
MagpieData maximum NpUnfilled,0.013554796
MagpieData mean MeltingT,0.013425561
MagpieData avg_dev Column,0.013010841
MagpieData mode Number,0.012914379
MagpieData mean NsValence,0.012721089
MagpieData avg_dev MeltingT,0.012410178
MagpieData mean NdValence,0.012085145
MagpieData mean AtomicWeight,0.012067614
MagpieData mean NpValence,0.011998349
MagpieData avg_dev NValence,0.011837032
MagpieData avg_dev MendeleevNumber,0.011786045
MagpieData avg_dev NdValence,0.011259182
MagpieData avg_dev AtomicWeight,0.011246414
MagpieData maximum GSvolume_pa,0.011030494
MagpieData avg_dev NsUnfilled,0.010833079
MagpieData mean NfValence,0.010533148
MagpieData mean NfUnfilled,0.010353871
MagpieData maximum NValence,0.010334043
MagpieData avg_dev NpValence,0.008902713
MagpieData mean NpUnfilled,0.008720659
MagpieData maximum CovalentRadius,0.008625055
MagpieData maximum NfUnfilled,0.008329328
MagpieData avg_dev NdUnfilled,0.007680971
MagpieData avg_dev NsValence,0.007351362
MagpieData mean NdUnfilled,0.0072887843
MagpieData mean Row,0.0072326516
MagpieData maximum GSmagmom,0.0069773765
MagpieData mean SpaceGroupNumber,0.0069621727
MagpieData minimum Electronegativity,0.0067590596
MagpieData maximum Number,0.0063475347
MagpieData avg_dev GSmagmom,0.0061711916
MagpieData maximum GSbandgap,0.0058733076
MagpieData mode CovalentRadius,0.00586086
MagpieData minimum Column,0.0053445073
MagpieData mode Column,0.0051906575
MagpieData minimum MendeleevNumber,0.004452508
MagpieData avg_dev NfUnfilled,0.003952287
MagpieData minimum Number,0.0039345166
MagpieData maximum AtomicWeight,0.003418764
MagpieData maximum MendeleevNumber,0.0031198899
MagpieData avg_dev GSbandgap,0.0017062847
MagpieData minimum SpaceGroupNumber,0.00067818817
MagpieData maximum SpaceGroupNumber,0.00016515306
MagpieData maximum NfValence,0.0
MagpieData minimum NfValence,0.0
MagpieData minimum NdValence,0.0
MagpieData maximum NdValence,0.0
MagpieData mode NdValence,0.0
MagpieData range NdValence,0.0
MagpieData mode NsValence,0.0
MagpieData maximum NpValence,0.0
MagpieData minimum NpValence,0.0
MagpieData range Electronegativity,0.0
MagpieData mode Electronegativity,0.0
MagpieData minimum NsValence,0.0
MagpieData range NpValence,0.0
MagpieData mode NpValence,0.0
MagpieData range CovalentRadius,0.0
MagpieData minimum CovalentRadius,0.0
MagpieData maximum Electronegativity,0.0
MagpieData mode MeltingT,0.0
MagpieData maximum Row,0.0
MagpieData minimum MeltingT,0.0
MagpieData minimum AtomicWeight,0.0
MagpieData mode AtomicWeight,0.0
MagpieData range Column,0.0
MagpieData maximum Column,0.0
MagpieData range MeltingT,0.0
MagpieData mode Row,0.0
MagpieData range Row,0.0
MagpieData minimum Row,0.0
MagpieData maximum NsValence,0.0
MagpieData range NsValence,0.0
MagpieData range NfUnfilled,0.0
MagpieData minimum NfUnfilled,0.0
MagpieData range NdUnfilled,0.0
MagpieData mode NdUnfilled,0.0
MagpieData range NpUnfilled,0.0
MagpieData minimum NpUnfilled,0.0
MagpieData mode NpUnfilled,0.0
MagpieData minimum NdUnfilled,0.0
MagpieData avg_dev NfValence,0.0
MagpieData range NfValence,0.0
MagpieData mode NfValence,0.0
MagpieData mode NValence,0.0
MagpieData maximum NsUnfilled,0.0
MagpieData minimum NsUnfilled,0.0
MagpieData range NsUnfilled,0.0
MagpieData mode NsUnfilled,0.0
MagpieData minimum GSbandgap,0.0
MagpieData mode GSvolume_pa,0.0
MagpieData minimum GSvolume_pa,0.0
MagpieData range GSvolume_pa,0.0
MagpieData maximum NUnfilled,0.0
MagpieData minimum NUnfilled,0.0
MagpieData range NUnfilled,0.0
MagpieData mode NUnfilled,0.0
MagpieData mode NfUnfilled,0.0
MagpieData minimum GSmagmom,0.0
MagpieData range GSbandgap,0.0
MagpieData mode GSbandgap,0.0
MagpieData range GSmagmom,0.0
MagpieData mode GSmagmom,0.0
MagpieData range SpaceGroupNumber,0.0
MagpieData mode SpaceGroupNumber,0.0
